date,open,high,low,close,volume
2018-02-09,30.37,31.805,29.68,31.51,67181217
2018-02-12,31.44,31.9,30.8631,30.95,37001023
2018-02-13,30.67,33.65,30.64,33.44,57653045
2018-02-14,32.85,33.98,32.55,33.75,39339174
2018-02-15,34.03,34.38,33.0599,33.61,32020505
2018-02-16,33.37,33.5,32.68,33.06,27900974
2018-02-20,32.88,33.57,32.68,32.84,22766658
2018-02-21,33.03,34.055,32.6472,33.38,29589334
2018-02-22,33.43,33.45,31.63,32.11,29184052
2018-02-23,32.2,32.69,31.97,32.66,17283432
2018-02-26,32.7,32.7,31.96,32.16,15766299
2018-02-27,31.91,32.21,31.26,31.32,16544005
2018-02-28,31.5,32.85,31.47,31.86,24180133
2018-03-01,31.95,32.56,31.26,32.24,25032477
2018-03-02,31.93,33.03,31.49,33.0,24918891
2018-03-05,32.9,34.95,32.58,34.58,34839998
2018-03-06,34.58,34.95,33.86,34.43,22641005
2018-03-07,33.99,35.82,33.99,35.76,33656143
2018-03-08,35.42,35.84,34.68,34.85,24845343
2018-03-09,35.2,35.5,34.9367,35.35,19119453
2018-03-12,35.53,35.73,34.83,35.5,21078894
2018-03-13,35.4,35.53,33.9,34.11,22096927
2018-03-14,34.3,36.8,34.09,36.6,41632830
2018-03-15,36.41,36.48,35.4,35.8,21059227
2018-03-16,36.0,36.2,35.52,35.58,13833813
2018-03-19,35.13,35.74,34.41,34.98,22194764
2018-03-20,34.92,34.95,30.61,31.35,82937606
2018-03-21,32.19,33.15,32.05,32.73,43672096
2018-03-22,31.77,32.13,31.175,31.2,29561919
2018-03-23,31.26,32.0,30.7907,31.03,24878100
2018-03-26,31.69,32.47,30.7,31.91,25546283
2018-03-27,31.85,31.9,27.88,28.07,80415535
2018-03-28,27.78,29.11,27.39,28.45,47853634
2018-03-29,28.76,29.33,27.9,29.01,36828382
2018-04-02,28.37,28.77,27.75,28.04,24353132
2018-04-03,28.36,28.87,27.22,27.54,26071705
2018-04-04,26.85,28.34,26.6,28.25,22001986
2018-04-05,28.51,29.33,28.1,28.64,24407286
2018-04-06,28.28,29.0595,27.97,28.1,15317967
2018-04-09,28.1,28.79,28.0,28.01,13973173
2018-04-10,28.36,30.3,28.28,29.53,28840098
2018-04-11,29.46,29.83,28.73,29.39,25287882
2018-04-12,29.89,29.9,28.78,29.0,17327036
2018-04-13,29.24,29.46,28.43,28.76,12712577
2018-04-16,28.85,28.95,28.36,28.58,11505305
2018-04-17,29.45,32.0568,29.43,31.84,46696039
2018-04-18,31.67,32.0599,31.07,31.54,25139953
2018-04-19,31.37,32.28,30.96,31.54,22640053
2018-04-20,32.65,33.12,31.65,31.91,34819658
2018-04-23,32.51,32.62,30.85,31.22,29411008
2018-04-24,31.18,31.64,29.63,30.47,41265271
2018-04-25,31.35,32.0,28.14,29.75,92943187
2018-04-26,30.35,31.42,30.12,30.27,43784175
2018-04-27,30.17,30.32,28.59,29.0,37420135
2018-04-30,28.62,30.7457,28.43,30.31,41760191
2018-05-01,30.21,31.06,29.6,30.3,30679164
2018-05-02,30.0,31.2199,29.95,30.55,22481683
2018-05-03,30.21,31.02,29.97,30.67,19813452
2018-05-04,30.22,31.36,29.85,31.04,21035168
2018-05-07,31.06,31.84,30.88,31.33,18517536
2018-05-08,31.2,32.0899,31.03,31.85,19581183
2018-05-09,32.07,32.79,31.94,32.46,20726455
2018-05-10,32.71,33.78,32.58,32.87,20723533
2018-05-11,32.94,33.1,32.2501,32.75,14482552
2018-05-14,33.07,33.58,32.93,33.39,18007006
2018-05-15,33.17,33.17,32.36,32.75,15840804
2018-05-16,32.75,33.2166,32.67,32.77,10868673
2018-05-17,32.78,33.015,32.281,32.58,10760174
2018-05-18,32.55,32.97,32.2108,32.63,10618936
2018-05-21,33.02,34.025,32.9,33.63,21328447
2018-05-22,33.78,33.81,32.83,32.86,15003157
2018-05-23,32.7,33.43,32.6,33.42,13442658
2018-05-24,33.44,33.755,33.12,33.52,14491903
2018-05-25,33.54,33.99,33.31,33.63,10424410
2018-05-29,33.42,34.83,33.35,34.04,22086674
2018-05-30,34.2,34.655,34.08,34.36,14588186
2018-05-31,34.39,34.97,34.25,34.7,14433219
2018-06-01,35.14,36.69,35.09,36.65,29583088
2018-06-04,36.45,37.98,35.95,37.88,32632802
2018-06-05,39.53,40.16,39.19,39.8,66122177
2018-06-06,39.42,40.23,39.21,40.1,147805710
2018-06-07,40.14,40.16,38.64,39.7,41573447
2018-06-08,39.49,41.26,39.42,41.21,34538901
2018-06-11,41.42,41.69,40.66,41.42,24605266
2018-06-12,42.47,44.33,42.41,43.49,51154995
2018-06-13,44.24,44.55,43.4199,44.07,35169170
2018-06-14,44.55,46.8,44.5,46.76,50949063
2018-06-15,46.62,47.79,45.64,45.8,51489582
2018-06-18,45.335,46.2564,44.5,46.0,26025577
2018-06-19,45.19,45.71,43.57,44.95,39252002
